text,label,language,category
"Main Delhi Police Cyber Cell se DCP Mishra baat kar raha hu. Aapke khilaf arrest warrant hai.",1,hinglish,authority_impersonation
"Aapke naam pe Mumbai customs me illegal drugs ka parcel pakda gaya hai, aap digital arrest me hain.",1,hinglish,authority_impersonation
"CBI raid padne wali hai aapke ghar pe agar turant penalty pay nahi ki.",1,hinglish,authority_impersonation
"TRAI se notice hai, 2 ghante me aapke saare phone number block kar diye jayenge.",1,hinglish,authority_impersonation
"Aadhaar card money laundering me use hua hai, call disconnect mat karna warna police aayegi.",1,hinglish,authority_impersonation
"Turant is UPI ID pe 50000 bhejo warna abhi FIR darj ho jayegi.",1,hinglish,urgency_threat
"10 minute ke andar fine bharna padega warna police gadi bhej rahe hain aapke ghar.",1,hinglish,urgency_threat
"Aapki bijli ka connection aaj raat 9 baje kaat diya jayega, turant is number pe call karo.",1,hinglish,urgency_threat
"Aapko 25 lakh ki lottery lagi hai, 10000 transfer karo prize money release karne ke liye.",1,hinglish,financial_fraud
"Aapka 10 lakh ka pre-approved loan pass ho gaya hai, bas 2000 processing fee jama kijiye.",1,hinglish,financial_fraud
"प्रिय ग्राहक, आपका बैंक खाता ब्लॉक हो गया है। कृपया अपना 6 अंकों का ओटीपी बताएं।",1,hi,credential_theft
"आपका एटीएम कार्ड बंद कर दिया गया है। चालू रखने के लिए सीवीवी और ओटीपी तुरंत दर्ज करें।",1,hi,credential_theft
"केवाईसी अपडेट न होने के कारण आपका खाता 24 घंटे में फ्रीज हो जाएगा, ओटीपी साझा करें।",1,hi,credential_theft
"मैं दिल्ली पुलिस साइबर सेल से बोल रहा हूं। आपके नाम पर गैरकानूनी पार्सल मिला है।",1,hi,authority_impersonation
"आपके आधार कार्ड पर मनी लॉन्ड्रिंग का केस दर्ज हुआ है, आप डिजिटल अरेस्ट में हैं।",1,hi,authority_impersonation
"सीबीआई की टीम आपके पते पर आ रही है, बचने के लिए तुरंत इस खाते में जुर्माना जमा करें।",1,hi,authority_impersonation
"दूरसंचार विभाग: आपके नाम के सभी सिम कार्ड आज शाम को ब्लॉक कर दिए जाएंगे।",1,hi,authority_impersonation
"तुरंत 20000 रुपये इस यूपीआई पर ट्रांसफर करें नहीं तो आपके खिलाफ गैर-जमानती वारंट जारी होगा।",1,hi,urgency_threat
"आज रात 9 बजे आपकी बिजली काट दी जाएगी, बिल भरने के लिए तुरंत इस नंबर पर संपर्क करें।",1,hi,urgency_threat
"बधाई हो! आपने 25 लाख की लॉटरी जीती है। राशि प्राप्त करने के लिए टैक्स शुल्क जमा करें।",1,hi,financial_fraud
"कम ब्याज दर पर 5 लाख का लोन तुरंत प्राप्त करें, सिर्फ 1500 रुपये फाइल चार्ज दें।",1,hi,financial_fraud
"Sir we need your card CVV to refund the excess amount charged on your bill.",1,en,credential_theft
"Tax department refund of 45000 is pending. Submit OTP to claim your refund directly.",1,en,credential_theft
"Your WhatsApp account will be deleted unless you verify the 6-digit code sent right now.",1,en,credential_theft
"Colleague asking: can you share the team lunch menu for today?",0,en,benign
"Let me know when the meeting recording is uploaded to drive.",0,en,benign
"Aaj class cancel ho gayi hai professor ki tabiyat kharab thi.",0,hinglish,benign
"Bhai zomato se order kar le 50 percent off mil raha hai.",0,hinglish,benign
"कल सुबह 8 बजे ग्राउंड में रनिंग के लिए मिलते हैं।",0,hi,benign
"क्या आपने आज का अखबार पढ़ा? बहुत अच्छी खबर आई है।",0,hi,benign
"Your courier parcel containing international passports has been seized by customs.",1,en,authority_impersonation
"Aapke PAN card pe 50 lakh ka illegal loan liya gaya hai, turant call pe raho.",1,hinglish,authority_impersonation
"अदालत के आदेशानुसार आपके बैंक खाते सीज किए जा रहे हैं, तुरंत पेनल्टी भरें।",1,hi,urgency_threat
